hw,Artikel:Intel Core i3 13100 ID:72ef2879-0b04-444e-a23a-28ebe940d9e4 Anzahl:1
hw,AMD Ryzen 9 7900X3D ID:357e5228-02f0-4144-9ab0-56dca7e34029 Anzahl:3
hw,AMD Ryzen 9 7950X ID:92f77bc5-bdd8-4c32-a3f6-9e04e4140eb1 Anzahl:4
sw,Microsoft Windows 10 Pro ID:42574700-4acb-4688-9496-1f9e79e1b255 Anzahl:1
hw,AMD Ryzen 9 7900 ID:cb563501-c930-421b-84fe-707dd50b96c5 Anzahl:1
sw,Microsoft OneDrive ID:a643c2a4-87a6-4372-8cc2-b0ece599049d Anzahl:3
hw,Intel Core i3 13100F ID:1fff1eca-acc0-4b85-a3c0-493855c34e67 Anzahl:2
sw,Microsoft Windows 11 Pro ID:46bb9aa2-6dd0-4ce7-8534-b651d75352a2 Anzahl:4
hw,Intel Core i5 13600KF ID:aa6fedc4-dffa-487d-84ba-89dd4310b3c3 Anzahl:3
hw,Intel Core i7 13700 ID:cd4160d5-4857-4bdf-9293-4feacf8c38ab Anzahl:4
sw,Microsoft Powerpoint ID:a7ca42ee-f8b9-4ae4-adb1-31b8ea3ddd76 Anzahl:4
hw,Intel Core i3 13100T ID:c8aef39d-9b68-4be9-ac85-97e91715ea19 Anzahl:3
sw,Microsoft Windows 10 Home ID:bb4c0c17-15a8-48b9-b0c4-5ae3e7153720 Anzahl:4
hw,AMD Ryzen 7 7800X3D ID:976e7a16-a885-4f9f-8718-68c63dacf0dc Anzahl:4
sw,Microsoft Outlook ID:218c0b83-b274-40ba-a10d-a5c0371e34fd Anzahl:2
hw,Intel Core i5 13600 ID:93284f6e-a39e-4595-a701-b1ead4b756a2 Anzahl:4
sw,Microsoft Windows 11 Home ID:74891497-8b67-4be0-9bab-4941ef6b01c1 Anzahl:3
